,Product_name,Product_price,Product_desc
0,CHUWI Intel Celeron Dual Core 10th Gen N4020 - (4 GB/SSD/128 GB SSD/Windows 11 Home) HeroBook Air Lapt...,"₹13,990","Fan-less Design
(Low Power Consumption)4x faster than eMMCM.2 port for easy DIY upgradesLPDDR4 4GB RAMIntel 9th generation UHD GraphicsSupport 4K/60 Frames HDIntel Celeron Dual Core Processor (10th Gen)4 GB LPDDR4 RAM64 bit Windows 11 Operating System128 GB SSD29.46 cm (11.6 inch) DisplayOperating System Software1 Year Onsite Warranty"
1,HP Laptop Intel Core i3 N305 - (8 GB/SSD/512 GB SSD/Windows 11 Home) 15-fd0123TU Thin and Light Laptop,"₹36,990",Intel Core i3 Processor8 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Carry-in Warranty
2,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 1235U - (16 GB/SSD/512 GB SSD/Windows 11 Home) 15IAU7 Thi...,"₹51,990",Intel Core i5 Processor (12th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year warranty
3,HP AMD Ryzen 3 Quad Core 5300U - (8 GB/SSD/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,"₹31,884","AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office 2019 & Office 365, HP Documentation, HP BIOS recovery, HP Smart1 Year Onsite Warranty"
4,Acer One (2024) Intel Core i3 11th Gen 1115G4 - (8 GB/SSD/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Th...,"₹26,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Warranty
5,CHUWI Intel Core i5 10th Gen 1035G1 - (16 GB/SSD/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop,"₹24,990","Intel Core i5 Processor (10th Gen)16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty"
6,Lenovo V15 Intel Celeron Dual Core 4th Gen N4500 - (8 GB/SSD/256 GB SSD/Windows 11 Home) 82QYA00MIN La...,"₹22,990",Intel Celeron Dual Core Processor (4th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 inch) Display1 Years
7,HP Laptop Intel Core i3 12th Gen 1215U - (8 GB/SSD/256 GB SSD/Windows 11 Home) 15s-fy5010TU Thin and L...,"₹39,990",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Home Operating System256 GB SSD39.62 cm (15.6 inch) Display1 Year Carry-in Warranty
8,CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/SSD/256 GB SSD/Windows 11 Home) HeroBook Pro Lapt...,"₹16,990","Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.81 cm (14.1 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty"
9,Apple 2020 Macbook Air Apple M1 - (8 GB/SSD/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"₹71,990","Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty"
